

Start	2017-06-30 02:52:39	End	2017-06-30 02:52:46	Instance	08D6F647	Method	Reference Method	Msmts	1000	Iterations	500
Globals:	debugLevel=1	maxSwarmSize=1000000	reseedCounter=10000000	minimalExcitement=1.0E-4	logDir=./log	xmlDir=./xml	maxFullHistories=100	noOfBatchFileThreads=8	iniFilename=FlameModel.ini	defaultRandMin=1000	defaultRandMax=10000	defaultMeasurements=100	defaultIterations=500	defaultDimension=3	defaultHistories=10	defaultUseObservable=true
	msmt	iter	FlameClass	F_Row1_real	F_Row1_imag	F_Row2_real	F_Row2_imag	F_absQ	F_size	F_sDim	F_pDim	F_glb exc	F_loc exc[ 1]	F_loc exc[ 2]	F_NullPairsRe[ 0]	F_NullPairsIm[ 0]	F_NullPairsRe[ 1]	F_NullPairsIm[ 1]	F_NullPairsRe[ 2]	F_NullPairsIm[ 2]	F_NullPairsRe[ 3]	F_NullPairsIm[ 3]	F_obR1C1_real	F_obR1C1_imag	F_obR1C2_real	F_obR1C2_imag	F_obR2C1_real	F_obR2C1_imag	F_obR2C2_real	F_obR2C2_imag	F_P0I0	F_P0I1	F_P0I2	F_P0I3	F_P1I0	F_P1I1	F_P1I2	F_P1I3	F_P2I0	F_P2I1	F_P2I2	F_P2I3	F_P3I0	F_P3I1	F_P3I2	F_P3I3	F_R1C1_real	F_R1C1_imag	F_R1C2_real	F_R1C2_imag	F_R2C1_real	F_R2C1_imag	F_R2C2_real	F_R2C2_imag	F_peRow1_real	F_peRow1_imag	F_peRow2_real	F_peRow2_imag	F_evR1C1_real	F_evR1C1_imag	F_evR1C2_real	F_evR1C2_imag	F_evR2C1_real	F_evR2C1_imag	F_evR2C2_real	F_evR2C2_imag	F_ewRow1_real	F_ewRow1_imag	F_ewRow2_real	F_ewRow2_imag
	0	-1	de.bzus.flame.process.PauliFlame	54,00000	-24,00000	24,00000	-40,00000	 5668	3400	2	4	0,94609	0,94609	0,94609	198	202	220	210	199	206	207	176	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	224	202	198	228	233	210	220	216	234	207	199	206	221	219	207	176	40,00000	17,00000	14,00000	-41,00000	12,00000	29,00000	12,00000	-69,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	0	0	de.bzus.flame.process.PauliFlame	108,00000	-22,00000	40,00000	-8,00000	13812	2534	2	4	0,42384	0,42384	0,42384	122	143	129	130	118	128	202	180	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	164	143	122	152	161	130	129	136	175	146	118	128	218	230	202	180	58,00000	41,00000	50,00000	-63,00000	14,00000	51,00000	26,00000	-59,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	0	1	de.bzus.flame.process.PauliFlame	94,00000	-1,00000	24,00000	25,00000	10038	2829	2	4	0,42132	0,42132	0,42132	147	149	138	133	157	162	215	196	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	181	167	147	149	163	133	138	139	222	183	157	162	229	248	215	196	48,00000	70,00000	46,00000	-71,00000	4,00000	59,00000	20,00000	-34,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	0	2	de.bzus.flame.process.PauliFlame	107,00000	-22,00000	21,00000	0,00000	12374	3245	2	4	0,13748	0,13748	0,13748	154	161	145	136	210	206	253	232	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	193	164	154	161	170	136	145	150	279	233	210	206	269	290	253	232	55,00000	61,00000	52,00000	-83,00000	-2,00000	55,00000	23,00000	-55,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	0	3	de.bzus.flame.process.PauliFlame	108,00000	-22,00000	4,00000	-6,00000	12200	4092	2	4	0,01698	0,01698	0,01698	188	187	174	162	301	286	322	302	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	227	188	188	187	191	162	174	177	367	320	301	286	340	360	322	302	57,00000	59,00000	51,00000	-81,00000	-17,00000	51,00000	21,00000	-57,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	0	4	de.bzus.flame.process.PauliFlame	106,00000	-14,00000	2,00000	-2,00000	11440	5066	2	4	0,00280	0,00280	0,00280	227	220	206	194	401	386	397	376	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	264	226	227	220	223	194	206	208	467	419	401	386	416	436	397	376	56,00000	66,00000	50,00000	-80,00000	-16,00000	52,00000	18,00000	-54,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	0	5	de.bzus.flame.process.PauliFlame	107,00000	-15,00000	-1,00000	-1,00000	11676	6070	2	4	0,00069	0,00069	0,00069	270	263	237	225	499	483	476	455	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	306	269	270	263	254	225	237	239	566	518	499	483	495	515	476	455	55,00000	66,00000	52,00000	-81,00000	-18,00000	53,00000	17,00000	-54,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	0	6	de.bzus.flame.process.PauliFlame	106,00000	-15,00000	0,00000	-1,00000	11462	7085	2	4	0,00035	0,00035	0,00035	312	305	268	256	601	585	555	534	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	348	311	312	305	285	256	268	270	668	619	601	585	574	594	555	534	55,00000	66,00000	51,00000	-81,00000	-17,00000	53,00000	17,00000	-54,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	0	7	de.bzus.flame.process.PauliFlame	105,00000	-16,00000	1,00000	0,00000	11282	8095	2	4	0,00035	0,00035	0,00035	354	347	299	287	702	686	634	613	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	390	353	354	347	316	287	299	301	769	719	702	686	653	672	634	613	55,00000	65,00000	50,00000	-81,00000	-16,00000	53,00000	17,00000	-53,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	0	8	de.bzus.flame.process.PauliFlame	106,00000	-16,00000	0,00000	0,00000	11492	9098	2	4	0,00000	0,00000	0,00000	396	389	330	318	802	785	712	691	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	432	395	396	389	347	318	330	332	869	819	802	785	731	750	712	691	55,00000	65,00000	51,00000	-81,00000	-17,00000	53,00000	17,00000	-53,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	msmt	iter	FlameClass	F_Row1_real	F_Row1_imag	F_Row2_real	F_Row2_imag	F_absQ	F_size	F_sDim	F_pDim	F_glb exc	F_loc exc[ 1]	F_loc exc[ 2]	F_NullPairsRe[ 0]	F_NullPairsIm[ 0]	F_NullPairsRe[ 1]	F_NullPairsIm[ 1]	F_NullPairsRe[ 2]	F_NullPairsIm[ 2]	F_NullPairsRe[ 3]	F_NullPairsIm[ 3]	F_obR1C1_real	F_obR1C1_imag	F_obR1C2_real	F_obR1C2_imag	F_obR2C1_real	F_obR2C1_imag	F_obR2C2_real	F_obR2C2_imag	F_P0I0	F_P0I1	F_P0I2	F_P0I3	F_P1I0	F_P1I1	F_P1I2	F_P1I3	F_P2I0	F_P2I1	F_P2I2	F_P2I3	F_P3I0	F_P3I1	F_P3I2	F_P3I3	F_R1C1_real	F_R1C1_imag	F_R1C2_real	F_R1C2_imag	F_R2C1_real	F_R2C1_imag	F_R2C2_real	F_R2C2_imag	F_peRow1_real	F_peRow1_imag	F_peRow2_real	F_peRow2_imag	F_evR1C1_real	F_evR1C1_imag	F_evR1C2_real	F_evR1C2_imag	F_evR2C1_real	F_evR2C1_imag	F_evR2C2_real	F_evR2C2_imag	F_ewRow1_real	F_ewRow1_imag	F_ewRow2_real	F_ewRow2_imag
	1	-1	de.bzus.flame.process.PauliFlame	54,00000	-24,00000	24,00000	-40,00000	 5668	3400	2	4	0,94609	0,94609	0,94609	198	202	220	210	199	206	207	176	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	224	202	198	228	233	210	220	216	234	207	199	206	221	219	207	176	40,00000	17,00000	14,00000	-41,00000	12,00000	29,00000	12,00000	-69,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	1	0	de.bzus.flame.process.PauliFlame	65,00000	-3,00000	-3,00000	-7,00000	 4292	2900	2	4	0,05332	0,05332	0,05332	129	137	143	127	168	172	254	232	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	162	137	129	151	143	136	145	127	209	188	168	172	272	275	254	232	51,00000	29,00000	14,00000	-32,00000	-18,00000	50,00000	15,00000	-57,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
