																																																																																																																
Globals:	maxSwarmSize=	1000000	minimalExcitement=	1.0E-4	randomSeedCounter=	0	randomSeedTimer=	0	useSecureRandom=	false																																																																																																						
	started	ended	method	msmts	iter	FlameClass	F_R0C0_real	F_R0C0_imag	F_R1C0_real	F_R1C0_imag	F_absQ	F_size	F_sDim	F_pDim	F_target	F_anregung	F_tgt[ 0]	F_excit[ 0]	F_tgt[ 1]	F_excit[ 1]	F_NullPairsRe[ 0]	F_NullPairsIm[ 0]	F_NullPairsRe[ 1]	F_NullPairsIm[ 1]	F_NullPairsRe[ 2]	F_NullPairsIm[ 2]	F_NullPairsRe[ 3]	F_NullPairsIm[ 3]	F_obR0C0_real	F_obR0C0_imag	F_obR0C1_real	F_obR0C1_imag	F_obR1C0_real	F_obR1C0_imag	F_obR1C1_real	F_obR1C1_imag	F_P0I0	F_P0I1	F_P0I2	F_P0I3	F_P1I0	F_P1I1	F_P1I2	F_P1I3	F_P2I0	F_P2I1	F_P2I2	F_P2I3	F_P3I0	F_P3I1	F_P3I2	F_P3I3	F_R0C0_real	F_R0C0_imag	F_R0C1_real	F_R0C1_imag	F_R1C0_real	F_R1C0_imag	F_R1C1_real	F_R1C1_imag	F_peR0C0_real	F_peR0C0_imag	F_peR1C0_real	F_peR1C0_imag	F_evR0C0_real	F_evR0C0_imag	F_evR0C1_real	F_evR0C1_imag	F_evR1C0_real	F_evR1C0_imag	F_evR1C1_real	F_evR1C1_imag	F_ewR0C0_real	F_ewR0C0_imag	F_ewR1C0_real	F_ewR1C0_imag	avgIter	conv	div	target[0]	target[1]	sigma[0]	sigma[1]	dist[0]	dist[1]	sigma[0]	sigma[1]	minAbs	maxAbs	avgAbs	sigmaAbs	minSize	maxSize	avgSize	sigmaSize	minNP0	maxNP0	avgNP0	sigmaNP0	minNP1	maxNP1	avgNP1	sigmaNP1	minNP2	maxNP2	avgNP2	sigmaNP2	minNP3	maxNP3	avgNP3	sigmaNP3	nodeHash
	17/12/16 21:56	17/12/16 21:57	Referenzmethode	1000	200	de.bzus.flame.process.PauliFlame	100	0	0	0	10000	740	2	4	0	0	0	0	0	0	0	20	50	50	50	50	50	50	1	0	0	0	0	0	-1	0	100	20	0	20	50	50	50	50	50	50	50	50	50	50	50	50	100	0	0	0	0	0	100	0	1	0	0	0	1	0	0	0	0	0	1	0	-1	0	1	0	0	1000	0	1	0	0	0	1	0	0	0	100	100	100	0	740	740	740	0	20	20	20	0	100	100	100	0	100	100	100	0	100	100	100	0	569586CE
	17/12/16 21:56	17/12/16 21:57	Referenzmethode	1000	200	de.bzus.flame.process.PauliFlame	100	0	1	0	10001	581	2	4	0.02	0.0004	0.02	0.0004	0.02	0.0004	0	20	0	20	50	50	50	50	1	0	0	0	0	0	-1	0	100	20	0	20	1	20	0	20	50	50	50	50	50	50	50	50	100	0	1	0	1	0	100	0	1	0	0	0	1	0	0	0	0	0	1	0	-1	0	1	0	38	1000	0	0.9999	0.0001	0.00032	0.00032	1	0	0	0	57	252	101	12	984	97603	17098	13278	220	44229	8012	79	22	1298	127	11	97	1529	156	11	99	2546	196	13	5D0526E3
	17/12/16 21:57	17/12/16 21:57	Referenzmethode	1000	200	de.bzus.flame.process.PauliFlame	100	0	2	0	10004	582	2	4	0.03998	0.0016	0.03998	0.0016	0.03998	0.0016	0	20	0	20	50	50	50	50	1	0	0	0	0	0	-1	0	100	20	0	20	2	20	0	20	50	50	50	50	50	50	50	50	100	0	2	0	2	0	100	0	1	0	0	0	1	0	0	0	0	0	1	0	-1	0	1	0	40	1000	0	0.9996	0.0004	0.00063	0.00063	1	0	0	0	34	354	103	19	986	121956	18870	12681	220	54532	8580	75	23	2103	233	14	97	2438	248	15	99	6103	312	20	569586CE
	17/12/16 21:57	17/12/16 21:57	Referenzmethode	1000	200	de.bzus.flame.process.PauliFlame	100	0	3	0	10009	583	2	4	0.05995	0.00359	0.05995	0.00359	0.05995	0.00359	0	20	0	20	50	50	50	50	1	0	0	0	0	0	-1	0	100	20	0	20	3	20	0	20	50	50	50	50	50	50	50	50	100	0	3	0	3	0	100	0	1	0	0	0	1	0	0	0	0	0	1	0	-1	0	1	0	40	1000	0	0.9991	0.0009	0.00095	0.00095	0.998	0.002	0.00141	0.00141	45	1096	107	38	991	267036	20014	14793	219	46570	8759	72	26	106744	436	58	97	15322	336	23	99	17403	409	28	5D0526E3
	17/12/16 21:57	17/12/16 21:58	Referenzmethode	1000	200	de.bzus.flame.process.PauliFlame	100	0	4	0	10016	584	2	4	0.07987	0.00638	0.07987	0.00638	0.07987	0.00638	0	20	0	20	50	50	50	50	1	0	0	0	0	0	-1	0	100	20	0	20	4	20	0	20	50	50	50	50	50	50	50	50	100	0	4	0	4	0	100	0	1	0	0	0	1	0	0	0	0	0	1	0	-1	0	1	0	39	1000	0	0.9984	0.0016	0.00126	0.00126	0.997	0.003	0.00173	0.00173	43	370	106	27	1851	149033	19514	11718	406	56259	8454	70	43	2970	397	17	100	23987	385	28	99	12584	452	25	569586CE
	17/12/16 21:57	17/12/16 21:58	Referenzmethode	1000	200	de.bzus.flame.process.PauliFlame	100	0	5	0	10025	585	2	4	0.09975	0.00995	0.09975	0.00995	0.09975	0.00995	0	20	0	20	50	50	50	50	1	0	0	0	0	0	-1	0	100	20	0	20	5	20	0	20	50	50	50	50	50	50	50	50	100	0	5	0	5	0	100	0	1	0	0	0	1	0	0	0	0	0	1	0	-1	0	1	0	38	1000	0	0.99751	0.00249	0.00158	0.00158	1	0	0	0	49	809	109	34	4269	240921	20414	14630	1656	85801	8708	77	82	3996	467	18	108	6240	421	19	99	26215	539	32	5D0526E3
	17/12/16 21:58	17/12/16 21:58	Referenzmethode	1000	200	de.bzus.flame.process.PauliFlame	100	0	6	0	10036	586	2	4	0.11957	0.0143	0.11957	0.0143	0.11957	0.0143	0	20	0	20	50	50	50	50	1	0	0	0	0	0	-1	0	100	20	0	20	6	20	0	20	50	50	50	50	50	50	50	50	100	0	6	0	6	0	100	0	1	0	0	0	1	0	0	0	0	0	1	0	-1	0	1	0	37	1000	0	0.99641	0.00359	0.00189	0.00189	0.994	0.006	0.00244	0.00244	40	1082	111	49	3698	384922	20318	19231	622	159932	8459	87	104	24104	555	31	120	26904	514	35	100	13480	555	26	569586CE
	17/12/16 21:58	17/12/16 21:59	Referenzmethode	1000	200	de.bzus.flame.process.PauliFlame	100	0	7	0	10049	587	2	4	0.13932	0.01941	0.13932	0.01941	0.13932	0.01941	0	20	0	20	50	50	50	50	1	0	0	0	0	0	-1	0	100	20	0	20	7	20	0	20	50	50	50	50	50	50	50	50	100	0	7	0	7	0	100	0	1	0	0	0	1	0	0	0	0	0	1	0	-1	0	1	0	37	1000	0	0.99512	0.00488	0.0022	0.0022	0.995	0.005	0.00223	0.00223	39	473	112	37	4122	167224	21176	15805	765	55409	8623	77	117	22574	630	29	116	20554	545	30	99	28048	711	38	5D0526E3
	17/12/16 21:58	17/12/16 21:59	Referenzmethode	1000	200	de.bzus.flame.process.PauliFlame	100	0	8	0	10064	588	2	4	0.15898	0.02528	0.15898	0.02528	0.15898	0.02528	0	20	0	20	50	50	50	50	1	0	0	0	0	0	-1	0	100	20	0	20	8	20	0	20	50	50	50	50	50	50	50	50	100	0	8	0	8	0	100	0	1	0	0	0	1	0	0	0	0	0	1	0	-1	0	1	0	35	999	1	0.99364	0.00636	0.00251	0.00251	0.997	0.003	0.00173	0.00173	33	1427	114	55	4138	224791	20078	15478	949	79423	8076	77	93	7221	638	23	127	6555	543	22	105	19971	700	36	569586CE
	17/12/16 21:59	17/12/16 21:59	Referenzmethode	1000	200	de.bzus.flame.process.PauliFlame	100	0	9	0	10081	589	2	4	0.17855	0.03188	0.17855	0.03188	0.17855	0.03188	0	20	0	20	50	50	50	50	1	0	0	0	0	0	-1	0	100	20	0	20	9	20	0	20	50	50	50	50	50	50	50	50	100	0	9	0	9	0	100	0	1	0	0	0	1	0	0	0	0	0	1	0	-1	0	1	0	36	1000	0	0.99197	0.00803	0.00282	0.00282	0.989	0.011	0.0033	0.0033	15	803	116	51	3757	261691	21209	19008	506	82833	8113	76	136	83231	893	59	109	29436	684	39	100	31547	830	43	5D0526E3
